 time[yr],type[tp/pl],particle no.,x[AU],y[AU],z[AU],vx[AU/year],vy[AU/year],vz[AU/year],a,e,inc[degrees]
         0.0000, tp,    65,    0.000766315,   -0.000794243,   -0.000000107,  105.606356051,  152.369054906,    0.017888984,    0.001062048,    0.199670613,    0.007157489
         0.0000, tp,    66,    0.001257167,    0.000201055,    0.000000143,  -18.060068650,  157.073061552,   -0.005790351,    0.001066431,    0.198602349,    0.006849524
         0.0000, tp,    67,   -0.001000717,    0.000639690,   -0.000000130,  -67.025023692, -158.566260505,    0.017405331,    0.001071532,    0.199156344,    0.007886651
         0.0000, tp,    68,   -0.000870573,   -0.000914578,    0.000000030,  126.832791076,  -98.800305389,    0.024343347,    0.001076196,    0.198728457,    0.008958413
         0.0000, tp,    69,    0.000759527,   -0.001000418,   -0.000000197,  116.903496978,  112.588688669,    0.008042363,    0.001081083,    0.198800355,    0.009168187
         0.0000, tp,    70,    0.000627660,   -0.000616233,    0.000000020,  172.627587114,  153.812315948,   -0.025118104,    0.001087387,    0.201994926,    0.006457235
         0.0000, tp,    71,   -0.000754034,    0.000546633,    0.000000016, -153.007549719, -158.791998826,   -0.007311305,    0.001092001,    0.201457158,    0.002276868
         0.0000, tp,    72,   -0.000451305,    0.001096031,    0.000000113, -146.854993260,  -94.987105221,   -0.017032703,    0.001095896,    0.199347973,    0.007177849
         0.0000, tp,    73,   -0.000245286,   -0.000884629,    0.000000053,  207.552175721,  -84.269751518,    0.033557852,    0.001101830,    0.201691404,    0.008901573
         0.0000, tp,    74,   -0.000637705,   -0.000664642,   -0.000000048,  142.775001420, -172.231146289,    0.006553824,    0.001106696,    0.201701999,    0.003612559
         0.0000, tp,    75,    0.000193233,    0.001023176,   -0.000000072, -186.512945672,   74.213021684,   -0.002465545,    0.001111025,    0.200562730,    0.003934901
         0.0000, tp,    76,    0.000276649,    0.000953047,   -0.000000102, -208.877783175,   23.689782602,   -0.011092251,    0.001116112,    0.201052189,    0.007174914
         0.0000, tp,    77,    0.000117619,    0.000900994,    0.000000004, -226.958797002,   13.455029618,    0.036866497,    0.001121407,    0.201977521,    0.009332711
         0.0000, tp,    78,    0.001268961,   -0.000207610,    0.000000018,    3.589921267,  162.157900798,   -0.014752666,    0.001124832,    0.198921412,    0.005211784
         0.0000, tp,    79,    0.000791345,   -0.000996665,    0.000000117,  143.220851025,   81.152118065,   -0.013090185,    0.001129739,    0.199032366,    0.007576243
         0.0000, tp,    80,   -0.001285059,    0.000043562,    0.000000050,   18.840241024, -162.037296388,    0.018833109,    0.001134572,    0.198986605,    0.007369107
         0.0000, tp,    81,    0.001313064,   -0.000257682,    0.000000072,   15.125315834,  155.325654270,    0.008862673,    0.001139302,    0.198720843,    0.004729192
         0.0000, tp,    82,   -0.000694805,    0.001114918,   -0.000000094, -145.922913719,  -65.630450844,    0.006022926,    0.001144236,    0.198888943,    0.004943729
         0.0000, tp,    83,    0.000314321,   -0.000959069,   -0.000000091,  207.024743302,   32.396593333,    0.014544554,    0.001150188,    0.201178908,    0.007079943
         0.0000, tp,    84,    0.000603869,   -0.001175496,    0.000000156,  150.821961907,   52.799170674,    0.017359930,    0.001153955,    0.198907733,    0.008623503
         0.0000, tp,    85,    0.000655393,    0.001211673,    0.000000131, -138.371408114,   64.012008146,    0.003345934,    0.001158678,    0.198632151,    0.005688837
         0.0000, tp,    86,   -0.001006260,   -0.000242029,    0.000000028,   81.178880977, -189.220413860,   -0.013760650,    0.001164708,    0.201058060,    0.003936322
         0.0000, tp,    87,    0.000444471,    0.001203067,    0.000000103, -143.862318704,   84.177076825,    0.019080763,    0.001168678,    0.199233696,    0.007431504
         0.0000, tp,    88,   -0.000937864,   -0.000025171,   -0.000000021,    2.371885817, -224.837946556,    0.023536935,    0.001174956,    0.202130765,    0.006149867
